file_prefix,error
002_009_11,0
002_009_12,1
002_009_13,0
002_009_14,0
002_009_15,1
002_010_01,0
002_010_02,0
002_010_03,0
002_010_04,0
002_010_05,0
002_010_06,0
002_010_07,0
002_010_08,0
002_010_09,0
002_010_10,0
002_010_11,1
002_010_12,0
002_010_13,0
002_010_14,0
002_010_15,0
002_012_01,0
002_012_02,0
002_012_03,0
002_012_04,0
002_012_05,0
002_012_06,0
002_012_07,0
002_012_08,0
002_012_09,0
002_012_10,0
002_012_11,0
002_012_12,0
002_012_13,0
002_012_14,0
002_012_15,1
002_013_01,0
002_013_02,0
002_013_03,1
002_013_04,0
002_013_05,0
002_013_06,0
002_013_07,0
002_013_08,0
002_013_09,0
002_013_10,1
002_013_11,0
002_013_12,1
002_013_13,0
002_013_14,0
002_013_15,0
002_014_01,0
002_014_02,0
002_014_03,0
002_014_04,0
002_014_05,0
002_014_06,0
002_014_07,0
002_014_08,0
002_014_09,0
002_014_10,0
002_014_11,0
002_014_12,0
002_014_13,0
002_014_14,0
002_014_15,1
002_015_01,0
002_015_02,0
002_015_03,0
002_015_04,0
002_015_05,0
002_015_06,0
002_015_07,0
002_015_08,0
002_015_09,0
002_015_10,0
002_015_11,0
002_015_12,1
002_015_13,0
002_015_14,0
002_015_15,1
002_016_01,0
002_016_02,0
002_016_03,0
002_016_04,0
002_016_05,0
002_016_06,0
002_016_07,0
002_016_08,0
002_016_09,0
002_016_10,1
002_016_11,0
002_016_12,0
002_016_13,0
002_016_14,0
002_016_15,0
002_017_01,0
002_017_02,0
002_017_03,0
002_017_04,0
002_017_05,0
002_017_06,0
002_017_07,0
002_017_08,0
002_017_09,0
002_017_10,0
002_017_11,0
002_017_12,1
002_017_13,0
002_017_14,1
002_017_15,0
002_019_01,0
002_019_02,0
002_019_03,0
002_019_04,0
002_019_05,0
002_019_06,1
002_019_07,0
002_019_08,0
002_019_09,0
002_019_10,0
002_019_11,0
002_019_12,0
002_019_13,1
002_019_14,0
002_019_15,0
002_021_01,0
002_021_02,0
002_021_03,1
002_021_04,0
002_021_05,0
002_021_06,0
002_021_07,0
002_021_08,0
002_021_09,0
002_021_10,0
002_021_11,0
002_021_12,0
002_021_13,0
002_021_14,0
002_021_15,0
002_022_01,0
002_022_02,0
002_022_03,0
002_022_04,1
002_022_05,0
002_022_06,0
002_022_07,0
002_022_08,0
002_022_09,0
002_022_10,0
002_022_11,0
002_022_12,0
002_022_13,0
002_022_14,0
002_022_15,0
002_023_01,0
002_023_02,0
002_023_03,0
002_023_04,1
002_023_05,0
002_023_06,0
002_023_07,0
002_023_08,0
002_023_09,0
002_023_10,0
002_023_11,0
002_023_12,1
002_023_13,0
002_023_14,0
002_023_15,0
002_025_01,0
002_025_02,1
002_025_03,0
002_025_04,0
002_025_05,0
002_025_06,0
002_025_07,0
002_025_08,0
002_025_09,0
002_025_10,0
002_025_11,0
002_025_12,0
002_025_13,0
002_025_14,0
002_025_15,0
002_026_01,0
002_026_02,0
002_026_03,0
002_026_04,1
002_026_05,0
002_026_06,0
002_026_07,0
002_026_08,0
002_026_09,0
002_026_10,0
002_026_11,0
002_026_12,0
002_026_13,0
002_026_14,0
002_026_15,0
002_028_01,0
002_028_02,0
002_028_03,0
002_028_04,0
002_028_05,0
002_028_06,0
002_028_07,0
002_028_08,0
002_028_09,0
002_028_10,0
002_028_11,0
002_028_12,0
002_028_13,1
002_028_14,0
002_028_15,1
002_030_01,0
002_030_02,0
002_030_03,0
002_030_04,0
002_030_05,0
002_030_06,0
002_030_07,0
002_030_08,0
002_030_09,0
002_030_10,0
002_030_11,0
002_030_12,1
002_030_13,0
002_030_14,0
002_030_15,0
002_032_01,0
002_032_02,1
002_032_03,0
002_032_04,0
002_032_05,0
002_032_06,0
002_032_07,0
002_032_08,0
002_032_09,0
002_032_10,0
002_032_11,0
002_032_12,0
002_032_13,0
002_032_14,0
002_032_15,1
002_033_01,1
002_033_02,1
002_033_03,1
002_033_04,1
002_033_05,1
002_033_06,1
002_033_07,1
002_033_08,1
002_033_09,1
002_033_10,1
002_033_11,1
002_033_12,1
002_033_13,1
002_033_14,1
002_033_15,1
002_034_01,0
002_034_02,0
002_034_03,0
002_034_04,0
002_034_05,0
002_034_06,0
002_034_07,0
002_034_08,0
002_034_09,0
002_034_10,0
002_034_11,0
002_034_12,0
002_034_13,0
002_034_14,0
002_034_15,0
002_035_01,0
002_035_02,0
002_035_03,0
002_035_04,0
002_035_05,0
002_035_06,0
002_035_07,0
002_035_08,0
002_035_09,0
002_035_10,0
002_035_11,0
002_035_12,0
002_035_13,0
002_035_14,1
002_035_15,0
002_036_01,0
002_036_02,0
002_036_03,1
002_036_04,0
002_036_05,0
002_036_06,0
002_036_07,1
002_036_08,0
002_036_09,0
002_036_10,0
002_036_11,0
002_036_12,0
002_036_13,0
002_036_14,0
002_036_15,0
002_037_01,0
002_037_02,0
002_037_03,0
002_037_04,0
002_037_05,0
002_037_06,0
002_037_07,0
002_037_08,0
002_037_09,0
002_037_10,0
002_037_11,0
002_037_12,0
002_037_13,0
002_037_14,0
002_037_15,0
002_038_01,0
002_038_02,0
002_038_03,0
002_038_04,0
002_038_05,0
002_038_06,0
002_038_07,0
002_038_08,0
002_038_09,0
002_038_10,0
002_038_11,0
002_038_12,0
002_038_13,0
002_038_14,0
002_038_15,0
002_039_01,0
002_039_02,0
002_039_03,1
002_039_04,0
002_039_05,0
002_039_06,0
002_039_07,0
002_039_08,0
002_039_09,0
002_039_10,0
002_039_11,0
002_039_12,0
002_039_13,0
002_039_14,1
002_039_15,0
002_040_01,0
002_040_02,0
002_040_03,1
002_040_04,0
002_040_05,0
002_040_06,0
002_040_07,0
002_040_08,0
002_040_09,0
002_040_10,0
002_040_11,0
002_040_12,0
002_040_13,0
002_040_14,0
002_040_15,0
002_041_01,0
002_041_02,0
002_041_03,0
002_041_04,0
002_041_05,0
002_041_06,0
002_041_07,0
002_041_08,0
002_041_09,0
002_041_10,0
002_041_11,0
002_041_12,0
002_041_13,0
002_041_14,0
002_041_15,0
002_044_01,0
002_044_02,0
002_044_03,0
002_044_04,0
002_044_05,0
002_044_06,0
002_044_07,0
002_044_08,0
002_044_09,0
002_044_10,0
002_044_11,0
002_044_12,0
002_044_13,0
002_044_14,0
002_044_15,0
002_045_01,0
002_045_02,0
002_045_03,1
002_045_04,0
002_045_05,0
002_045_06,0
002_045_07,0
002_045_08,0
002_045_09,0
002_045_10,0
002_045_11,0
002_045_12,0
002_045_13,0
002_045_14,0
002_045_15,0
002_046_01,0
002_046_02,0
002_046_03,0
002_046_04,0
002_046_05,0
002_046_06,0
002_046_07,0
002_046_08,0
002_046_09,0
002_046_10,0
002_046_11,0
002_046_12,0
002_046_13,0
002_046_14,0
002_046_15,0
002_047_01,0
002_047_02,0
002_047_03,0
002_047_04,0
002_047_05,0
002_047_06,0
002_047_07,0
002_047_08,0
002_047_09,0
002_047_10,0
002_047_11,0
002_047_12,0
002_047_13,1
002_047_14,0
002_047_15,0
002_048_01,0
002_048_02,1
002_048_03,0
002_048_04,0
002_048_05,0
002_048_06,0
002_048_07,0
002_048_08,0
002_048_09,0
002_048_10,0
002_048_11,0
002_048_12,1
002_048_13,1
002_048_14,0
002_048_15,0
002_049_01,0
002_049_02,0
002_049_03,0
002_049_04,0
002_049_05,0
002_049_06,0
002_049_07,0
002_049_08,0
002_049_09,0
002_049_10,0
002_049_11,0
002_049_12,0
002_049_13,0
002_049_14,0
002_049_15,0
002_050_01,0
002_050_02,0
002_050_03,0
002_050_04,0
002_050_05,0
002_050_06,0
002_050_07,0
002_050_08,1
002_050_09,0
002_050_10,0
002_050_11,0
002_050_12,0
002_050_13,0
002_050_14,0
002_050_15,0
002_051_01,0
002_051_02,0
002_051_03,1
002_051_04,0
002_051_05,0
002_051_06,1
002_051_07,0
002_051_08,0
002_051_09,0
002_051_10,0
002_051_11,0
002_051_12,0
002_051_13,0
002_051_14,0
002_051_15,0
002_052_01,0
002_052_02,0
002_052_03,0
002_052_04,0
002_052_05,0
002_052_06,0
002_052_07,0
002_052_08,0
002_052_09,0
002_052_10,0
002_052_11,0
002_052_12,0
002_052_13,0
002_052_14,0
002_052_15,0
002_053_01,0
002_053_02,0
002_053_03,0
002_053_04,0
002_053_05,0
002_053_06,0
002_053_07,0
002_053_08,0
002_053_09,0
002_053_10,0
002_053_11,0
002_053_12,1
002_053_13,0
002_053_14,0
002_053_15,0
002_054_01,0
002_054_02,0
002_054_03,0
002_054_04,0
002_054_05,0
002_054_06,0
002_054_07,0
002_054_08,0
002_054_09,1
002_054_10,0
002_054_11,0
002_054_12,1
002_054_13,0
002_054_14,0
002_054_15,0
002_055_01,0
002_055_02,0
002_055_03,0
002_055_04,0
002_055_05,0
002_055_06,0
002_055_07,0
002_055_08,0
002_055_09,0
002_055_10,0
002_055_11,0
002_055_12,0
002_055_13,0
002_055_14,1
002_055_15,0
002_056_01,0
002_056_02,0
002_056_03,0
002_056_04,0
002_056_05,0
002_056_06,0
002_056_07,1
002_056_08,1
002_056_09,0
002_056_10,0
002_056_11,0
002_056_12,0
002_056_13,0
002_056_14,0
002_056_15,0
002_057_01,0
002_057_02,0
002_057_03,0
002_057_04,0
002_057_05,0
002_057_06,1
002_057_07,0
002_057_08,0
002_057_09,0
002_057_10,0
002_057_11,0
002_057_12,1
002_057_13,0
002_057_14,0
002_057_15,0
002_058_01,0
002_058_02,0
002_058_03,0
002_058_04,0
002_058_05,0
002_058_06,0
002_058_07,0
002_058_08,0
002_058_09,0
002_058_10,0
002_058_11,0
002_058_12,1
002_058_13,0
002_058_14,0
002_058_15,0
002_065_01,0
002_065_02,0
002_065_03,1
002_065_04,0
002_065_05,0
002_065_06,0
002_065_07,0
002_065_08,1
002_065_09,0
002_065_10,0
002_065_11,0
002_065_12,0
002_065_13,0
002_065_14,0
002_065_15,0
002_066_01,0
002_066_02,0
002_066_03,0
002_066_04,0
002_066_05,0
002_066_06,0
002_066_07,0
002_066_08,0
002_066_09,0
002_066_10,1
002_066_11,0
002_066_12,0
002_066_13,0
002_066_14,0
002_066_15,0
002_067_01,0
002_067_02,0
002_067_03,0
002_067_04,0
002_067_05,0
002_067_06,0
002_067_07,0
002_067_08,0
002_067_09,0
002_067_10,0
002_067_11,0
002_067_12,0
002_067_13,1
002_067_14,0
002_067_15,0
002_068_01,0
002_068_02,0
002_068_03,0
002_068_04,0
002_068_05,0
002_068_06,0
002_068_07,0
002_068_08,1
002_068_09,0
002_068_10,0
002_068_11,0
002_068_12,0
002_068_13,0
002_068_14,1
002_068_15,0
002_069_01,0
002_069_02,1
002_069_03,0
002_069_04,0
002_069_05,0
002_069_06,0
002_069_07,1
002_069_08,0
002_069_09,0
002_069_10,0
002_069_11,0
002_069_12,0
002_069_13,0
002_069_14,0
002_069_15,0
002_070_01,0
002_070_02,0
002_070_03,0
002_070_04,0
002_070_05,0
002_070_06,0
002_070_07,0
002_070_08,1
002_070_09,0
002_070_10,0
002_070_11,0
002_070_12,0
002_070_13,0
002_070_14,0
002_070_15,0
002_071_01,0
002_071_02,0
002_071_03,0
002_071_04,0
002_071_05,0
002_071_06,0
002_071_07,0
002_071_08,0
002_071_09,0
002_071_10,0
002_071_11,0
002_071_12,0
002_071_13,0
002_071_14,0
002_071_15,0
002_075_01,0
002_075_02,0
002_075_03,0
002_075_04,1
002_075_05,0
002_075_06,0
002_075_07,0
002_075_08,0
002_075_09,0
002_075_10,1
002_075_11,1
002_075_12,0
002_075_13,0
002_075_14,0
002_075_15,1
002_076_01,0
002_076_02,1
002_076_03,0
002_076_04,0
002_076_05,0
002_076_06,0
002_076_07,0
002_076_08,0
002_076_09,0
002_076_10,1
002_076_11,0
002_076_12,0
002_076_13,0
002_076_14,0
002_076_15,0
002_077_01,0
002_077_02,0
002_077_03,0
002_077_04,0
002_077_05,0
002_077_06,0
002_077_07,0
002_077_08,0
002_077_09,0
002_077_10,0
002_077_11,0
002_077_12,0
002_077_13,0
002_077_14,0
002_077_15,0
002_078_01,0
002_078_02,0
002_078_03,0
002_078_04,0
002_078_05,0
002_078_06,0
002_078_07,0
002_078_08,0
002_078_09,0
002_078_10,0
002_078_11,0
002_078_12,0
002_078_13,0
002_078_14,0
002_078_15,0
002_079_01,0
002_079_02,0
002_079_03,0
002_079_04,0
002_079_05,0
002_079_06,0
002_079_07,0
002_079_08,0
002_079_09,0
002_079_10,0
002_079_11,1
002_079_12,0
002_079_13,0
002_079_14,0
002_079_15,0
002_080_01,0
002_080_02,1
002_080_03,0
002_080_04,0
002_080_05,0
002_080_06,0
002_080_07,1
002_080_08,0
002_080_09,0
002_080_10,0
002_080_11,0
002_080_12,0
002_080_13,0
002_080_14,0
002_080_15,0
002_081_01,0
002_081_02,1
002_081_03,0
002_081_04,0
002_081_05,0
002_081_06,0
002_081_07,0
002_081_08,0
002_081_09,0
002_081_10,0
002_081_11,0
002_081_12,0
002_081_13,0
002_081_14,0
002_081_15,0
002_082_01,1
002_082_02,1
002_082_03,1
002_082_04,1
002_082_05,1
002_082_06,0
002_082_07,0
002_082_08,0
002_082_09,0
002_082_10,0
002_082_11,0
002_082_12,1
002_082_13,0
002_082_14,0
002_082_15,0
002_083_01,0
002_083_02,0
002_083_03,0
002_083_04,0
002_083_05,0
002_083_06,0
002_083_07,0
002_083_08,0
002_083_09,0
002_083_10,0
002_083_11,0
002_083_12,0
002_083_13,0
002_083_14,0
002_083_15,0
002_084_01,0
002_084_02,0
002_084_03,0
002_084_04,0
002_084_05,0
002_084_06,0
002_084_07,0
002_084_08,0
002_084_09,0
002_084_10,0
002_084_11,0
002_084_12,0
002_084_13,0
002_084_14,1
002_084_15,0
002_086_01,0
002_086_02,0
002_086_03,1
002_086_04,1
002_086_05,0
002_086_06,0
002_086_07,0
002_086_08,0
002_086_09,1
002_086_10,0
002_086_11,0
002_086_12,0
002_086_13,0
002_086_14,0
002_086_15,0
002_087_01,0
002_087_02,0
002_087_03,0
002_087_04,0
002_087_05,0
002_087_06,0
002_087_07,0
002_087_08,0
002_087_09,0
002_087_10,0
002_087_11,0
002_087_12,0
002_087_13,0
002_087_14,0
002_087_15,1
002_088_01,0
002_088_02,0
002_088_03,0
002_088_04,0
002_088_05,0
002_088_06,0
002_088_07,0
002_088_08,0
002_088_09,1
002_088_10,0
002_088_11,0
002_088_12,0
002_088_13,0
002_088_14,0
002_088_15,0
002_089_01,0
002_089_02,1
002_089_03,0
002_089_04,0
002_089_05,0
002_089_06,0
002_089_07,0
002_089_08,0
002_089_09,0
002_089_10,0
002_089_11,0
002_089_12,0
002_089_13,0
002_089_14,0
002_089_15,0
002_090_01,0
002_090_02,0
002_090_03,0
002_090_04,0
002_090_05,0
002_090_06,0
002_090_07,0
002_090_08,0
002_090_09,0
002_090_10,0
002_090_11,0
002_090_12,0
002_090_13,0
002_090_14,0
002_090_15,0
002_092_01,0
002_092_02,0
002_092_03,0
002_092_04,0
002_092_05,0
002_092_06,0
002_092_07,1
002_092_08,0
002_092_09,0
002_092_10,0
002_092_11,0
002_092_12,0
002_092_13,0
002_092_14,0
002_092_15,0
002_093_01,0
002_093_02,0
002_093_03,0
002_093_04,0
002_093_05,0
002_093_06,0
002_093_07,0
002_093_08,0
002_093_09,0
002_093_10,0
002_093_11,0
002_093_12,0
002_093_13,0
002_093_14,0
002_093_15,0
002_094_01,0
002_094_02,0
002_094_03,0
002_094_04,0
002_094_05,0
002_094_06,0
002_094_07,0
002_094_08,0
002_094_09,0
002_094_10,0
002_094_11,0
002_094_12,0
002_094_13,0
002_094_14,0
002_094_15,0
002_095_01,0
002_095_02,0
002_095_03,0
002_095_04,0
002_095_05,0
002_095_06,0
002_095_07,0
002_095_08,0
002_095_09,1
002_095_10,0
002_095_11,0
002_095_12,1
002_095_13,0
002_095_14,0
002_095_15,0
002_097_01,0
002_097_02,0
002_097_03,0
002_097_04,0
002_097_05,0
002_097_06,0
002_097_07,0
002_097_08,0
002_097_09,1
002_097_10,0
002_097_11,0
002_097_12,1
002_097_13,0
002_097_14,0
002_097_15,0
002_098_01,0
002_098_02,0
002_098_03,0
002_098_04,0
002_098_05,0
002_098_06,0
002_098_07,0
002_098_08,0
002_098_09,0
002_098_10,0
002_098_11,0
002_098_12,0
002_098_13,1
002_098_14,1
002_098_15,0
002_099_01,0
002_099_02,0
002_099_03,0
002_099_04,0
002_099_05,0
002_099_06,0
002_099_07,0
002_099_08,0
002_099_09,0
002_099_10,0
002_099_11,0
002_099_12,0
002_099_13,0
002_099_14,0
002_099_15,1
002_100_01,0
002_100_02,0
002_100_03,0
002_100_04,0
002_100_05,0
002_100_06,0
002_100_07,0
002_100_08,0
002_100_09,0
002_100_10,0
002_100_11,0
002_100_12,0
002_100_13,0
002_100_14,0
002_100_15,0
